trip_id,year,month,week,day,hour,usertype,gender,starttime,stoptime,tripduration,temperature,events,from_station_id,from_station_name,latitude_start,longitude_start,dpcapacity_start,to_station_id,to_station_name,latitude_end,longitude_end,dpcapacity_end
2355134,2014,6,27,0,23,Subscriber,Male,2014.6.30 23:57,2014.7.1 0:07,10.06666667,68,tstorms,131,Lincoln Ave & Belmont Ave,41.939365,-87.668385,15,303,Broadway & Cornelia Ave,41.945512,-87.64598,15
2355133,2014,6,27,0,23,Subscriber,Male,2014.6.30 23:56,2014.7.1 0:00,4.383333333,68,tstorms,282,Halsted St & Maxwell St,41.86458,-87.64693,15,22,May St & Taylor St,41.8694821,-87.6554864,15
2355130,2014,6,27,0,23,Subscriber,Male,2014.6.30 23:33,2014.6.30 23:35,2.1,68,tstorms,327,Sheffield Ave & Webster Ave,41.921687,-87.653714,19,225,Halsted St & Dickens Ave,41.919936,-87.64883,15
2355129,2014,6,27,0,23,Subscriber,Female,2014.6.30 23:26,2014.7.1 0:24,58.01666667,68,tstorms,134,Peoria St & Jackson Blvd,41.877749,-87.649633,19,194,State St & Wacker Dr,41.887155,-87.62775,11
2355128,2014,6,27,0,23,Subscriber,Female,2014.6.30 23:16,2014.6.30 23:26,10.63333333,68,tstorms,320,Loomis St & Lexington St,41.872187,-87.661501,15,134,Peoria St & Jackson Blvd,41.877749,-87.649633,19
2355127,2014,6,27,0,23,Subscriber,Male,2014.6.30 23:11,2014.6.30 23:17,5.6,68,tstorms,332,Halsted St & Diversey Pkwy,41.933341,-87.648747,15,319,Greenview Ave & Diversey Pkwy,41.932595,-87.665939,15
2355126,2014,6,27,0,23,Subscriber,Male,2014.6.30 23:08,2014.6.30 23:13,5.066666667,68,tstorms,174,Canal St & Madison St,41.882091,-87.639833,23,44,State St & Randolph St,41.8847302,-87.62773357,27
2355125,2014,6,27,0,23,Subscriber,Male,2014.6.30 23:07,2014.6.30 23:16,8.75,68,tstorms,199,Wabash Ave & Grand Ave,41.891738,-87.626937,15,24,Fairbanks Ct & Grand Ave,41.89186,-87.62062,15
2355123,2014,6,27,0,23,Subscriber,Male,2014.6.30 23:06,2014.6.30 23:09,2.783333333,68,tstorms,238,Ravenswood Ave & Montrose Ave,41.961626,-87.674101,15,316,Damen Ave & Sunnyside Ave,41.96325,-87.679258,19
2355116,2014,6,27,0,22,Subscriber,Male,2014.6.30 22:46,2014.6.30 22:51,4.833333333,68,tstorms,169,Canal St & Harrison St,41.874337,-87.639566,15,91,Clinton St & Washington Blvd,41.88338,-87.64117,31
2355111,2014,6,27,0,22,Subscriber,Male,2014.6.30 22:22,2014.6.30 22:27,5.466666667,68,tstorms,100,Orleans St & Merchandise Mart Plaza,41.888243,-87.63639,23,192,Canal St & Adams St,41.878948,-87.63975,39
